x,y,z,Site,Atom
4.6624257,1.8730743000000003,3.942,O1,O
6.5355,3.1618749,0.0,O2,O
4.0755378,4.0755378,0.0,O3,O
4.980051,2.7462171,0.0,T1,Si
11.1979257,8.4085743,1.314,O1,O
13.071,9.6973749,2.628,O2,O
10.6110378,10.6110378,2.628,O3,O
11.515551,9.2817171,2.628,T1,Si
11.1979257,4.6624257,3.942,O1,O
9.909125099999999,6.5355,0.0,O2,O
8.995462199999999,4.0755378,0.0,O3,O
10.3247829,4.980051,0.0,T1,Si
4.662425700000001,11.1979257,1.314,O1,O
3.373625100000001,13.071,2.628,O2,O
2.4599622,10.6110378,2.628,O3,O
3.789282900000001,11.515551,2.628,T1,Si
8.4085743,11.1979257,3.942,O1,O
6.535500000000001,9.909125099999999,0.0,O2,O
8.995462199999999,8.995462199999999,0.0,O3,O
8.090949,10.3247829,0.0,T1,Si
1.8730742999999999,4.6624257,1.314,O1,O
3.674935484198707e-16,3.3736251,2.628,O2,O
2.4599621999999997,2.4599621999999997,2.628,O3,O
1.5554490000000003,3.7892829,2.628,T1,Si
1.8730743000000007,8.4085743,3.942,O1,O
3.1618749000000004,6.5355,0.0,O2,O
4.075537800000001,8.995462199999999,0.0,O3,O
2.7462171000000004,8.090949,0.0,T1,Si
8.4085743,1.8730742999999996,1.314,O1,O
9.6973749,1.6091858940796222e-16,2.628,O2,O
10.6110378,2.4599621999999997,2.628,O3,O
9.2817171,1.555449,2.628,T1,Si
8.4085743,1.8730743000000003,3.942,O1,O
8.090949,2.7462171,0.0,T1,Si
1.8730743,8.4085743,1.314,O1,O
7.547115459788065e-16,9.6973749,2.628,O2,O
1.5554490000000007,9.2817171,2.628,T1,Si
1.8730743000000005,4.6624257,3.942,O1,O
2.7462171000000004,4.980051,0.0,T1,Si
8.4085743,11.1979257,1.314,O1,O
9.6973749,13.071,2.628,O2,O
9.2817171,11.515551,2.628,T1,Si
4.662425700000001,11.1979257,3.942,O1,O
4.9800510000000004,10.3247829,0.0,T1,Si
11.1979257,4.6624257,1.314,O1,O
13.071,3.3736251,2.628,O2,O
11.515551,3.7892829,2.628,T1,Si
11.1979257,8.4085743,3.942,O1,O
10.3247829,8.090949,0.0,T1,Si
4.6624257,1.8730742999999996,1.314,O1,O
3.3736251,1.6091858940796222e-16,2.628,O2,O
3.7892829,1.555449,2.628,T1,Si
17.7334257,1.8730743000000003,3.942,O1,O
19.6065,3.1618749,0.0,O2,O
17.1465378,4.0755378,0.0,O3,O
18.051051,2.7462171,0.0,T1,Si
24.2689257,8.4085743,1.314,O1,O
26.142,9.6973749,2.628,O2,O
23.6820378,10.6110378,2.628,O3,O
24.586551,9.2817171,2.628,T1,Si
24.2689257,4.6624257,3.942,O1,O
22.9801251,6.5355,0.0,O2,O
22.0664622,4.0755378,0.0,O3,O
23.3957829,4.980051,0.0,T1,Si
17.7334257,11.1979257,1.314,O1,O
16.4446251,13.071,2.628,O2,O
15.5309622,10.6110378,2.628,O3,O
16.8602829,11.515551,2.628,T1,Si
21.4795743,11.1979257,3.942,O1,O
19.6065,9.909125099999999,0.0,O2,O
22.0664622,8.995462199999999,0.0,O3,O
21.161949,10.3247829,0.0,T1,Si
14.944074299999999,4.6624257,1.314,O1,O
15.5309622,2.4599621999999997,2.628,O3,O
14.626449,3.7892829,2.628,T1,Si
14.944074299999999,8.4085743,3.942,O1,O
16.2328749,6.5355,0.0,O2,O
17.1465378,8.995462199999999,0.0,O3,O
15.817217099999999,8.090949,0.0,T1,Si
21.4795743,1.8730742999999996,1.314,O1,O
22.7683749,1.6091858940796222e-16,2.628,O2,O
23.6820378,2.4599621999999997,2.628,O3,O
22.3527171,1.555449,2.628,T1,Si
21.4795743,1.8730743000000003,3.942,O1,O
21.161949,2.7462171,0.0,T1,Si
14.944074299999999,8.4085743,1.314,O1,O
14.626449,9.2817171,2.628,T1,Si
14.944074299999999,4.6624257,3.942,O1,O
