x,y,z,Site,Atom
1.8850000000000005,4.0555,2.628,O1,O
2.455024,1.8541746000000001,1.314,O2,O
2.5071280332431604e-16,2.7804508,1.314,O3,O
3.77,0.0,0.0,O4,O
1.5570100000000002,3.1892452000000002,1.314,T1,Si
3.77,0.9262762000000001,1.314,T2,Si
5.655000000000001,12.166500000000001,2.628,O1,O
6.225024000000001,9.965174600000001,1.314,O2,O
3.770000000000001,10.891450800000001,1.314,O3,O
7.540000000000001,8.111,0.0,O4,O
5.327010000000001,11.3002452,1.314,T1,Si
7.540000000000001,9.0372762,1.314,T2,Si
5.655,4.0555,2.628,O1,O
5.084976,1.8541746000000001,1.314,O2,O
5.98299,3.1892452000000002,1.314,T1,Si
1.885000000000001,12.166500000000001,2.628,O1,O
1.3149760000000006,9.965174600000001,1.314,O2,O
4.966555093942091e-16,8.111,0.0,O4,O
2.212990000000001,11.3002452,1.314,T1,Si
6.338328632710089e-16,9.0372762,1.314,T2,Si
1.885000000000001,12.166500000000001,5.256,O1,O
2.455024000000001,14.367825400000001,3.942,O2,O
1.0644353942800268e-15,13.4415492,3.942,O3,O
3.77,1.6091858940796222e-16,2.628,O4,O
1.5570100000000011,13.032754800000001,3.942,T1,Si
3.7700000000000014,15.295723800000001,3.942,T2,Si
5.655,4.0555,5.256,O1,O
6.225024,6.2568254,3.942,O2,O
3.770000000000001,5.3305492,3.942,O3,O
7.540000000000001,8.111,2.628,O4,O
5.3270100000000005,4.9217548,3.942,T1,Si
7.54,7.1847238,3.942,T2,Si
5.655000000000001,12.166500000000001,5.256,O1,O
5.084976000000001,14.367825400000001,3.942,O2,O
5.982990000000001,13.032754800000001,3.942,T1,Si
1.8850000000000005,4.0555,5.256,O1,O
1.3149760000000006,6.2568254,3.942,O2,O
6.575740988021713e-16,8.111,2.628,O4,O
2.212990000000001,4.9217548,3.942,T1,Si
6.813153343333338e-16,7.1847238,3.942,T2,Si
5.655,4.0555,0.0,O1,O
1.8850000000000007,12.166500000000001,0.0,O1,O
1.8850000000000002,4.0555,0.0,O1,O
5.655000000000001,12.166500000000001,0.0,O1,O
9.425,4.0555,2.628,O1,O
9.995024,1.8541746000000001,1.314,O2,O
7.54,2.7804508,1.314,O3,O
11.31,0.0,0.0,O4,O
9.09701,3.1892452000000002,1.314,T1,Si
11.31,0.9262762000000001,1.314,T2,Si
13.195,12.166500000000001,2.628,O1,O
13.765024,9.965174600000001,1.314,O2,O
11.31,10.891450800000001,1.314,O3,O
15.08,8.111,0.0,O4,O
12.86701,11.3002452,1.314,T1,Si
15.08,9.0372762,1.314,T2,Si
13.195,4.0555,2.628,O1,O
12.624975999999998,1.8541746000000001,1.314,O2,O
13.522989999999998,3.1892452000000002,1.314,T1,Si
9.425,12.166500000000001,2.628,O1,O
8.854975999999999,9.965174600000001,1.314,O2,O
9.752989999999999,11.3002452,1.314,T1,Si
9.425,12.166500000000001,5.256,O1,O
9.995024,14.367825400000001,3.942,O2,O
7.540000000000001,13.4415492,3.942,O3,O
11.31,1.6091858940796222e-16,2.628,O4,O
9.09701,13.032754800000001,3.942,T1,Si
11.310000000000002,15.295723800000001,3.942,T2,Si
13.195,4.0555,5.256,O1,O
13.765024,6.2568254,3.942,O2,O
11.31,5.3305492,3.942,O3,O
15.08,8.111,2.628,O4,O
12.86701,4.9217548,3.942,T1,Si
15.08,7.1847238,3.942,T2,Si
13.195,12.166500000000001,5.256,O1,O
12.624975999999998,14.367825400000001,3.942,O2,O
13.522989999999998,13.032754800000001,3.942,T1,Si
9.425,4.0555,5.256,O1,O
8.854975999999999,6.2568254,3.942,O2,O
9.752989999999999,4.9217548,3.942,T1,Si
13.195,4.0555,0.0,O1,O
9.425,12.166500000000001,0.0,O1,O
9.425,4.0555,0.0,O1,O
13.195,12.166500000000001,0.0,O1,O
1.8850000000000016,20.277500000000003,2.628,O1,O
2.4550240000000008,18.0761746,1.314,O2,O
1.2440238221127343e-15,19.002450800000002,1.314,O3,O
3.770000000000001,16.222,0.0,O4,O
1.5570100000000011,19.411245200000003,1.314,T1,Si
3.770000000000001,17.1482762,1.314,T2,Si
5.655000000000002,28.3885,2.628,O1,O
6.225024000000002,26.187174600000002,1.314,O2,O
