x,y,z,Site,Atom
0.0,0.0,0.0,O1,O
1.3129800000000005,2.1495200000000003,5.6175,O2,O
2.2199650140395737e-16,2.14952,1.4759579999999999,O3,O
4.8905020784214425e-16,1.6066000000000005,6.380196,T1,Si
3.5943383554974815e-16,3.4625,2.4074999999999998,T2,Si
6.925,6.925,3.21,O1,O
8.23798,9.07452,2.4074999999999998,O2,O
6.925000000000001,9.07452,4.685958,O3,O
6.925000000000001,8.5316,3.1701960000000002,T1,Si
6.925000000000001,10.3875,5.6175,T2,Si
10.3875,3.4625000000000004,4.8149999999999995,O1,O
8.23798,4.77548,4.0125,O2,O
8.23798,3.4625000000000004,6.290958,O3,O
8.780899999999999,3.4625000000000004,4.775196,T1,Si
6.925,3.4625,0.8025,T2,Si
3.4625000000000004,10.3875,1.605,O1,O
1.3129800000000005,11.700479999999999,0.8025,O2,O
1.3129800000000007,10.3875,3.080958,O3,O
1.8559000000000008,10.3875,1.565196,T1,Si
8.817456953860943e-16,10.3875,4.0125,T2,Si
6.925,1.9655581126315019e-16,3.21,O1,O
5.612020000000001,11.700479999999999,2.4074999999999998,O2,O
6.925000000000001,11.700479999999999,4.685958,O3,O
6.925000000000001,12.2434,3.1701960000000002,T1,Si
4.2403395420477105e-16,6.925,0.0,O1,O
12.53702,4.77548,5.6175,O2,O
3.8279017683840654e-16,4.77548,1.4759579999999999,O3,O
7.163324072959015e-16,5.3184,6.380196,T1,Si
10.3875,10.3875,1.605,O1,O
12.53702,9.07452,0.8025,O2,O
12.53702,10.3875,3.080958,O3,O
11.9941,10.3875,1.565196,T1,Si
13.85,10.3875,4.0125,T2,Si
3.4625000000000004,3.4625000000000004,4.8149999999999995,O1,O
5.61202,2.1495200000000003,4.0125,O2,O
5.61202,3.4625000000000004,6.290958,O3,O
5.0691,3.4625000000000004,4.775196,T1,Si
12.53702,2.1495200000000003,5.6175,O2,O
5.612020000000001,9.07452,2.4074999999999998,O2,O
5.61202,4.77548,4.0125,O2,O
12.53702,11.700479999999999,0.8025,O2,O
8.23798,11.700479999999999,2.4074999999999998,O2,O
1.3129800000000005,4.77548,5.6175,O2,O
1.3129800000000005,9.07452,0.8025,O2,O
8.23798,2.1495200000000003,4.0125,O2,O
1.019183029531885e-15,11.700479999999999,4.944042,O3,O
7.521293230936983e-16,12.2434,0.039803999999999895,T1,Si
6.925,4.77548,1.734042,O3,O
6.925,5.3184,3.2498039999999997,T1,Si
5.612020000000001,10.3875,0.12904200000000005,O3,O
5.069100000000001,10.3875,1.644804,T1,Si
12.53702,3.4625,3.339042,O3,O
11.9941,3.4625000000000004,4.854804,T1,Si
13.85,3.4625,2.4074999999999998,T2,Si
6.925,2.14952,1.734042,O3,O
6.925,1.6066000000000003,3.2498039999999997,T1,Si
8.583893540974359e-16,9.07452,4.944042,O3,O
5.2484712363994095e-16,8.5316,0.039803999999999895,T1,Si
1.3129800000000003,3.4625,3.339042,O3,O
1.8559000000000005,3.4625000000000004,4.854804,T1,Si
8.23798,10.3875,0.12904200000000005,O3,O
8.780899999999999,10.3875,1.644804,T1,Si
13.85,0.0,0.0,O1,O
15.16298,2.1495200000000003,5.6175,O2,O
13.85,2.14952,1.4759579999999999,O3,O
13.85,1.6066000000000005,6.380196,T1,Si
20.775,6.925,3.21,O1,O
22.087979999999998,9.07452,2.4074999999999998,O2,O
20.775,9.07452,4.685958,O3,O
20.775,8.5316,3.1701960000000002,T1,Si
20.775,10.3875,5.6175,T2,Si
24.2375,3.4625000000000004,4.8149999999999995,O1,O
22.087979999999998,4.77548,4.0125,O2,O
22.087979999999998,3.4625000000000004,6.290958,O3,O
22.630899999999997,3.4625000000000004,4.775196,T1,Si
20.775,3.4625,0.8025,T2,Si
17.3125,10.3875,1.605,O1,O
15.16298,11.700479999999999,0.8025,O2,O
15.16298,10.3875,3.080958,O3,O
15.705899999999998,10.3875,1.565196,T1,Si
20.775,1.9655581126315019e-16,3.21,O1,O
19.46202,11.700479999999999,2.4074999999999998,O2,O
20.775,11.700479999999999,4.685958,O3,O
20.775,12.2434,3.1701960000000002,T1,Si
13.85,6.925,0.0,O1,O
26.38702,4.77548,5.6175,O2,O
13.85,4.77548,1.4759579999999999,O3,O
13.85,5.3184,6.380196,T1,Si
24.2375,10.3875,1.605,O1,O
26.38702,9.07452,0.8025,O2,O
26.38702,10.3875,3.080958,O3,O
25.8441,10.3875,1.565196,T1,Si
27.7,10.3875,4.0125,T2,Si
17.3125,3.4625000000000004,4.8149999999999995,O1,O
19.46202,2.1495200000000003,4.0125,O2,O
19.46202,3.4625000000000004,6.290958,O3,O
18.9191,3.4625000000000004,4.775196,T1,Si
26.38702,2.1495200000000003,5.6175,O2,O
19.46202,9.07452,2.4074999999999998,O2,O
19.46202,4.77548,4.0125,O2,O
26.38702,11.700479999999999,0.8025,O2,O
22.087979999999998,11.700479999999999,2.4074999999999998,O2,O
15.16298,4.77548,5.6175,O2,O
15.16298,9.07452,0.8025,O2,O
22.087979999999998,2.1495200000000003,4.0125,O2,O
13.85,11.700479999999999,4.944042,O3,O
13.85,12.2434,0.039803999999999895,T1,Si
20.775,4.77548,1.734042,O3,O
20.775,5.3184,3.2498039999999997,T1,Si
19.46202,10.3875,0.12904200000000005,O3,O
18.9191,10.3875,1.644804,T1,Si
26.38702,3.4625,3.339042,O3,O
25.8441,3.4625000000000004,4.854804,T1,Si
27.7,3.4625,2.4074999999999998,T2,Si
20.775,2.14952,1.734042,O3,O
20.775,1.6066000000000003,3.2498039999999997,T1,Si
13.85,9.07452,4.944042,O3,O
13.85,8.5316,0.039803999999999895,T1,Si
15.16298,3.4625,3.339042,O3,O
15.705899999999998,3.4625000000000004,4.854804,T1,Si
22.087979999999998,10.3875,0.12904200000000005,O3,O
22.630899999999997,10.3875,1.644804,T1,Si
8.480679084095421e-16,13.85,0.0,O1,O
1.3129800000000011,15.99952,5.6175,O2,O
1.0700644098134994e-15,15.99952,1.4759579999999999,O3,O
1.3371181162516865e-15,15.456600000000002,6.380196,T1,Si
1.2075017439592904e-15,17.3125,2.4074999999999998,T2,Si
6.925000000000001,20.775,3.21,O1,O
8.237980000000002,22.92452,2.4074999999999998,O2,O
6.925000000000002,22.92452,4.685958,O3,O
6.925000000000002,22.381600000000002,3.1701960000000002,T1,Si
6.925000000000002,24.2375,5.6175,T2,Si
10.387500000000001,17.3125,4.8149999999999995,O1,O
8.237980000000002,18.62548,4.0125,O2,O
8.237980000000002,17.3125,6.290958,O3,O
8.7809,17.3125,4.775196,T1,Si
6.925000000000001,17.3125,0.8025,T2,Si
3.4625000000000012,24.2375,1.605,O1,O
1.3129800000000014,25.55048,0.8025,O2,O
1.3129800000000016,24.2375,3.080958,O3,O
1.8559000000000017,24.2375,1.565196,T1,Si
1.7298136037956365e-15,24.2375,4.0125,T2,Si
6.925000000000001,13.85,3.21,O1,O
5.612020000000002,25.55048,2.4074999999999998,O2,O
6.925000000000002,25.55048,4.685958,O3,O
6.925000000000002,26.0934,3.1701960000000002,T1,Si
1.2721018626143132e-15,20.775,0.0,O1,O
12.537020000000002,18.62548,5.6175,O2,O
1.2308580852479486e-15,18.62548,1.4759579999999999,O3,O
1.5644003157054435e-15,19.1684,6.380196,T1,Si
10.387500000000001,24.2375,1.605,O1,O
12.537020000000002,22.92452,0.8025,O2,O
12.537020000000002,24.2375,3.080958,O3,O
11.994100000000001,24.2375,1.565196,T1,Si
13.850000000000001,24.2375,4.0125,T2,Si
3.4625000000000012,17.3125,4.8149999999999995,O1,O
5.612020000000001,15.99952,4.0125,O2,O
5.612020000000001,17.3125,6.290958,O3,O
5.069100000000001,17.3125,4.775196,T1,Si
12.537020000000002,15.99952,5.6175,O2,O
5.612020000000002,22.92452,2.4074999999999998,O2,O
5.612020000000001,18.62548,4.0125,O2,O
12.537020000000002,25.55048,0.8025,O2,O
8.237980000000002,25.55048,2.4074999999999998,O2,O
1.3129800000000014,18.62548,5.6175,O2,O
1.3129800000000011,22.92452,0.8025,O2,O
8.237980000000002,15.99952,4.0125,O2,O
