x,y,z,Site,Atom
1.7280417000000006,2.5822500000000006,5.1064904,O1,O
3.8485854000000006,1.2663354000000002,4.2955,O2,O
2.3839332000000004,2.58225,2.5566815999999997,O3,O
5.926320587608265e-16,2.5822500000000006,7.096165999999999,O4,O
2.2641168000000005,1.2663354000000004,7.3160956,O5,O
1.9821351000000025,9.058533000000002,34.0444148,O6,O
2.4733478657941993e-16,2.58225,1.4570336,O7,O
2.9540940000000004,2.5822500000000006,4.061824799999999,T1,Si
1.5617448000000007,2.5822500000000006,6.7112891999999995,T2,Si
2.9169096,0.0,0.0,T3,Si
1.5813699000000006,2.58225,1.1615031999999998,T4,Si
6.892541700000003,7.746750000000002,22.2884904,O1,O
9.013085400000003,6.430835400000002,21.4775,O2,O
7.5484332000000025,7.746750000000001,19.7386816,O3,O
5.164500000000003,7.746750000000002,24.278166,O4,O
7.428616800000003,6.430835400000003,24.498095599999996,O5,O
7.146635100000001,3.894033000000001,16.862414799999996,O6,O
5.164500000000002,7.746750000000001,18.639033599999998,O7,O
8.118594000000003,7.746750000000001,21.2438248,T1,Si
6.7262448000000035,7.746750000000002,23.893289199999998,T2,Si
8.081409600000002,5.164500000000001,17.182,T3,Si
6.745869900000002,7.746750000000001,18.3435032,T4,Si
5.164500000000002,4.310291700000002,30.879490399999998,O1,O
6.480414600000001,6.430835400000003,30.068499999999997,O2,O
5.164500000000002,4.966183200000002,28.329681599999997,O3,O
5.164500000000002,2.5822500000000024,32.869166,O4,O
6.480414600000001,4.846366800000002,33.08909559999999,O5,O
9.017217000000002,4.564385100000002,25.453414799999994,O6,O
5.164500000000002,2.582250000000002,27.2300336,O7,O
5.164500000000002,5.536344000000002,29.834824799999996,T1,Si
5.164500000000002,4.143994800000002,32.4842892,T2,Si
7.746750000000002,5.499159600000002,25.772999999999996,T3,Si
5.164500000000002,4.163619900000002,26.934503199999998,T4,Si
1.4188930551352255e-15,9.4747917,13.6974904,O1,O
1.315914600000001,1.2663354000000013,12.886499999999998,O2,O
1.3029240671704856e-15,10.1306832,11.1476816,O3,O
1.4349135110443972e-15,7.746750000000001,15.687166,O4,O
1.3159146000000017,10.010866800000002,15.907095599999998,O5,O
3.852717000000001,9.7288851,8.271414799999997,O6,O
1.0896162388629907e-15,7.746750000000001,10.048033599999998,O7,O
7.975309477937198e-16,0.3718440000000011,12.652824799999998,T1,Si
1.5069758925053448e-15,9.308494800000002,15.3022892,T2,Si
2.5822500000000006,0.33465960000000033,8.591,T3,Si
1.1683512002576025e-15,9.3281199,9.7525032,T4,Si
3.4364583000000017,7.746750000000002,22.2884904,O1,O
1.315914600000002,9.062664600000002,21.4775,O2,O
2.7805668000000017,7.746750000000001,19.7386816,O3,O
2.900383200000002,9.062664600000002,24.498095599999996,O5,O
3.1823649000000014,1.2704670000000011,16.862414799999996,O6,O
2.210406000000002,7.746750000000001,21.2438248,T1,Si
3.602755200000002,7.746750000000002,23.893289199999998,T2,Si
2.2475904000000013,1.0520940651474911e-15,17.182,T3,Si
3.5831301000000018,7.746750000000001,18.3435032,T4,Si
8.6009583,2.5822500000000006,5.1064904,O1,O
6.4804146,3.8981646000000008,4.2955,O2,O
7.9450668,2.58225,2.5566815999999997,O3,O
8.0648832,3.8981646000000008,7.3160956,O5,O
8.346864900000003,6.434967000000002,34.0444148,O6,O
7.374906,2.5822500000000006,4.061824799999999,T1,Si
8.767255200000001,2.5822500000000006,6.7112891999999995,T2,Si
7.4120904,5.1645,0.0,T3,Si
8.7476301,2.58225,1.1615031999999998,T4,Si
10.329,6.018708300000001,13.6974904,O1,O
9.013085400000001,3.898164600000001,12.886499999999998,O2,O
10.329,5.362816800000001,11.1476816,O3,O
10.329000000000002,7.746750000000001,15.687166,O4,O
9.013085400000003,5.4826332,15.907095599999998,O5,O
6.476283000000001,5.7646149000000015,8.271414799999997,O6,O
10.329,7.746750000000001,10.048033599999998,O7,O
10.329,4.792656000000002,12.652824799999998,T1,Si
10.329000000000002,6.185005200000001,15.3022892,T2,Si
7.746750000000001,4.829840400000001,8.591,T3,Si
10.329,6.165380100000001,9.7525032,T4,Si
5.164500000000002,0.8542083000000019,30.879490399999998,O1,O
3.8485854000000024,9.062664600000002,30.068499999999997,O2,O
5.164500000000002,0.19831680000000168,28.329681599999997,O3,O
3.8485854000000024,0.31813320000000195,33.08909559999999,O5,O
1.3117830000000017,0.6001149000000017,25.453414799999994,O6,O
5.164500000000003,9.957156000000001,29.834824799999996,T1,Si
5.164500000000002,1.020505200000002,32.4842892,T2,Si
2.5822500000000024,9.994340400000002,25.772999999999996,T3,Si
5.164500000000002,1.0008801000000014,26.934503199999998,T4,Si
6.4804146,1.2663354000000002,4.2955,O2,O
8.0648832,1.2663354000000004,7.3160956,O5,O
8.346864900000003,9.058533000000002,34.0444148,O6,O
7.4120904,0.0,0.0,T3,Si
1.315914600000002,6.430835400000002,21.4775,O2,O
2.900383200000002,6.430835400000003,24.498095599999996,O5,O
3.182364900000002,3.894033000000001,16.862414799999996,O6,O
