x,y,z,Site,Atom
5.628295638000001,1.5302300320000002,2.271302118,Si1,Si
2.5263919440000002,1.5277516400000002,2.271226241,Si2,Si
3.964752765000001,5.413162184,0.0,Si3,Si
1.4946563340000003,3.402124104,0.0,Si4,Si
4.076925237,1.9497863920000003,2.182526028,O1,O
6.477750981000001,2.504238088,1.311989207,O2,O
5.803879041000001,1.1033156027117132e-16,1.801851119,O3,O
6.130560438,1.6849525040000002,3.79385,O4,O
2.3562497430000002,1.0977867124635684e-16,1.792821756,O5,O
2.0224529280000008,1.6729146000000001,3.79385,O6,O
1.6612408260000004,2.4911380160000003,1.316162442,O7,O
5.231925,4.4257,0.0,O8,O
2.5877101050000006,4.580953556,0.0,O9,O
2.453055492825263e-16,4.00614364,0.0,O10,O
15.299404362000004,16.172569968,2.271302118,Si1,Si
18.401308056,16.175048359999998,2.271226241,Si2,Si
16.962947235,12.289637816,0.0,Si3,Si
19.433043666,14.300675896,0.0,Si4,Si
16.850774763,15.753013608,2.182526028,O1,O
14.449949019000002,15.198561911999999,1.311989207,O2,O
15.123820959,1.1033156027117132e-16,1.801851119,O3,O
14.797139562000003,16.017847495999998,3.79385,O4,O
18.571450257000002,1.0977867124635684e-16,1.792821756,O5,O
18.905247072,16.029885399999998,3.79385,O6,O
19.266459174,15.211661984000001,1.316162442,O7,O
15.695775000000001,13.2771,0.0,O8,O
18.339989895000002,13.121846444,0.0,O9,O
8.386783185147619e-16,13.69665636,0.0,O10,O
5.628295638000002,16.172569968,5.316397882,Si1,Si
2.5263919440000016,16.175048359999998,5.316473759,Si2,Si
3.9647527650000014,12.289637816,0.0,Si3,Si
1.494656334000001,14.300675896,0.0,Si4,Si
4.076925237000001,15.753013608,5.405173972,O1,O
6.477750981000002,15.198561911999999,6.275710793,O2,O
5.803879041000001,3.5428106562334725e-16,5.785848881000001,O3,O
6.130560438000001,16.017847495999998,3.79385,O4,O
2.3562497430000007,3.548339546481617e-16,5.7948782439999995,O5,O
2.0224529280000016,16.029885399999998,3.79385,O6,O
1.6612408260000016,15.211661984000001,6.271537558,O7,O
5.231925000000001,13.2771,0.0,O8,O
2.587710105000001,13.121846444,0.0,O9,O
15.299404362000002,1.5302300320000002,5.316397882,Si1,Si
18.401308056,1.5277516400000002,5.316473759,Si2,Si
16.962947235,5.413162184,0.0,Si3,Si
19.433043666,3.402124104,0.0,Si4,Si
16.850774763,1.9497863920000003,5.405173972,O1,O
14.449949019,2.5042380880000006,6.275710793,O2,O
15.123820959,3.5428106562334725e-16,5.785848881000001,O3,O
14.797139562000002,1.6849525040000002,3.79385,O4,O
18.571450257000002,3.548339546481617e-16,5.7948782439999995,O5,O
18.905247072,1.6729146000000001,3.79385,O6,O
19.266459174,2.4911380160000007,6.271537558,O7,O
15.695775000000001,4.4257,0.0,O8,O
18.339989895000002,4.580953556,0.0,O9,O
15.299404362000004,16.172569968,5.316397882,Si1,Si
18.401308056,16.175048359999998,5.316473759,Si2,Si
16.850774763,15.753013608,5.405173972,O1,O
14.449949019000002,15.198561911999999,6.275710793,O2,O
19.266459174,15.211661984000001,6.271537558,O7,O
5.628295638000001,1.5302300320000002,5.316397882,Si1,Si
2.5263919440000007,1.5277516400000002,5.316473759,Si2,Si
4.076925237,1.9497863920000003,5.405173972,O1,O
6.477750981000001,2.5042380880000006,6.275710793,O2,O
1.661240826000001,2.4911380160000007,6.271537558,O7,O
15.299404362000002,1.5302300320000002,2.271302118,Si1,Si
18.401308056,1.5277516400000002,2.271226241,Si2,Si
16.850774763,1.9497863920000003,2.182526028,O1,O
14.449949019,2.504238088,1.311989207,O2,O
19.266459174,2.4911380160000003,1.316162442,O7,O
5.628295638000002,16.172569968,2.271302118,Si1,Si
2.526391944000001,16.175048359999998,2.271226241,Si2,Si
4.076925237000001,15.753013608,2.182526028,O1,O
6.477750981000002,15.198561911999999,1.311989207,O2,O
1.6612408260000011,15.211661984000001,1.316162442,O7,O
16.092145638,10.381630031999999,2.271302118,Si1,Si
12.990241944,10.37915164,2.271226241,Si2,Si
14.428602765,14.264562183999999,0.0,Si3,Si
11.958506334,12.253524104,0.0,Si4,Si
14.540775237000002,10.801186392,2.182526028,O1,O
16.941600981000004,11.355638088000001,1.311989207,O2,O
16.267729041000003,8.8514,1.801851119,O3,O
16.594410438,10.536352504,3.79385,O4,O
12.820099743,8.8514,1.792821756,O5,O
12.486302928000002,10.5243146,3.79385,O6,O
12.125090826000001,11.342538015999999,1.316162442,O7,O
13.051560105000002,13.432353555999999,0.0,O9,O
10.46385,12.85754364,0.0,O10,O
4.835554362000001,7.3211699679999995,2.271302118,Si1,Si
7.937458056000001,7.32364836,2.271226241,Si2,Si
6.499097235000001,3.438237816,0.0,Si3,Si
8.969193666,5.449275896,0.0,Si4,Si
6.386924763,6.901613608,2.182526028,O1,O
3.986099019,6.347161912,1.311989207,O2,O
4.659970959000001,8.8514,1.801851119,O3,O
4.333289562000001,7.166447496,3.79385,O4,O
8.107600257000001,8.8514,1.792821756,O5,O
8.441397072000001,7.1784854,3.79385,O6,O
8.802609174,6.360261984,1.316162442,O7,O
7.876139895000001,4.270446444,0.0,O9,O
10.46385,4.84525636,0.0,O10,O
16.092145638,7.3211699679999995,5.316397882,Si1,Si
12.990241944,7.32364836,5.316473759,Si2,Si
14.428602765,3.438237816,0.0,Si3,Si
11.958506334,5.449275896,0.0,Si4,Si
14.540775237000002,6.901613608,5.405173972,O1,O
16.941600981000004,6.347161912,6.275710793,O2,O
16.267729041000003,8.8514,5.785848881000001,O3,O
16.594410438,7.166447496,3.79385,O4,O
12.820099743,8.8514,5.7948782439999995,O5,O
12.486302928000002,7.1784854,3.79385,O6,O
12.125090826000001,6.360261984,6.271537558,O7,O
13.051560105000002,4.270446444,0.0,O9,O
4.835554362000001,10.381630031999999,5.316397882,Si1,Si
7.937458056000001,10.37915164,5.316473759,Si2,Si
6.499097235000002,14.264562183999999,0.0,Si3,Si
8.969193666,12.253524104,0.0,Si4,Si
6.386924763000001,10.801186392,5.405173972,O1,O
3.986099019000001,11.355638088000001,6.275710793,O2,O
4.659970959000001,8.8514,5.785848881000001,O3,O
4.333289562000002,10.536352504,3.79385,O4,O
8.107600257000001,8.8514,5.7948782439999995,O5,O
8.441397072000001,10.5243146,3.79385,O6,O
8.802609174,11.342538015999999,6.271537558,O7,O
7.8761398950000014,13.432353555999999,0.0,O9,O
4.835554362000001,7.3211699679999995,5.316397882,Si1,Si
7.937458056000001,7.32364836,5.316473759,Si2,Si
6.386924763,6.901613608,5.405173972,O1,O
3.9860990190000005,6.347161912,6.275710793,O2,O
8.802609174,6.360261984,6.271537558,O7,O
16.092145638,10.381630031999999,5.316397882,Si1,Si
12.990241944,10.37915164,5.316473759,Si2,Si
14.540775237000002,10.801186392,5.405173972,O1,O
16.941600981000004,11.355638088000001,6.275710793,O2,O
12.125090826000001,11.342538015999999,6.271537558,O7,O
4.835554362000001,10.381630031999999,2.271302118,Si1,Si
7.937458056000001,10.37915164,2.271226241,Si2,Si
6.386924763000001,10.801186392,2.182526028,O1,O
3.9860990190000005,11.355638088000001,1.311989207,O2,O
8.802609174,11.342538015999999,1.316162442,O7,O
16.092145638,7.3211699679999995,2.271302118,Si1,Si
12.990241944,7.32364836,2.271226241,Si2,Si
14.540775237000002,6.901613608,2.182526028,O1,O
16.941600981000004,6.347161912,1.311989207,O2,O
12.125090826000001,6.360261984,1.316162442,O7,O
26.555995638000002,1.5302300320000002,2.271302118,Si1,Si
23.454091944,1.5277516400000002,2.271226241,Si2,Si
24.892452764999998,5.413162184,0.0,Si3,Si
22.422356334000003,3.402124104,0.0,Si4,Si
25.004625237,1.9497863920000003,2.182526028,O1,O
27.405450981000005,2.504238088,1.311989207,O2,O
26.731579041000003,1.1033156027117132e-16,1.801851119,O3,O
27.058260438,1.6849525040000002,3.79385,O4,O
23.283949743,1.0977867124635684e-16,1.792821756,O5,O
22.950152928,1.6729146000000001,3.79385,O6,O
22.588940826,2.4911380160000003,1.316162442,O7,O
26.159625000000002,4.4257,0.0,O8,O
23.515410105,4.580953556,0.0,O9,O
20.9277,4.00614364,0.0,O10,O
36.227104362000006,16.172569968,2.271302118,Si1,Si
39.329008056000006,16.175048359999998,2.271226241,Si2,Si
37.890647235,12.289637816,0.0,Si3,Si
40.360743666000005,14.300675896,0.0,Si4,Si
37.778474763000006,15.753013608,2.182526028,O1,O
35.377649019,15.198561911999999,1.311989207,O2,O
36.051520959,1.1033156027117132e-16,1.801851119,O3,O
35.724839562,16.017847495999998,3.79385,O4,O
39.499150257000004,1.0977867124635684e-16,1.792821756,O5,O
39.832947072,16.029885399999998,3.79385,O6,O
40.194159174,15.211661984000001,1.316162442,O7,O
36.623475,13.2771,0.0,O8,O
39.267689895000004,13.121846444,0.0,O9,O
20.9277,13.69665636,0.0,O10,O
26.555995638000002,16.172569968,5.316397882,Si1,Si
23.454091944,16.175048359999998,5.316473759,Si2,Si
24.892452764999998,12.289637816,0.0,Si3,Si
22.422356334000003,14.300675896,0.0,Si4,Si
25.004625237,15.753013608,5.405173972,O1,O
27.405450981000005,15.198561911999999,6.275710793,O2,O
26.731579041000003,3.5428106562334725e-16,5.785848881000001,O3,O
27.058260438,16.017847495999998,3.79385,O4,O
23.283949743,3.548339546481617e-16,5.7948782439999995,O5,O
22.950152928,16.029885399999998,3.79385,O6,O
22.588940826,15.211661984000001,6.271537558,O7,O
26.159625000000002,13.2771,0.0,O8,O
23.515410105,13.121846444,0.0,O9,O
36.227104362000006,1.5302300320000002,5.316397882,Si1,Si
39.329008056000006,1.5277516400000002,5.316473759,Si2,Si
37.890647235,5.413162184,0.0,Si3,Si
40.360743666000005,3.402124104,0.0,Si4,Si
37.778474763000006,1.9497863920000003,5.405173972,O1,O
35.377649019,2.5042380880000006,6.275710793,O2,O
36.051520959,3.5428106562334725e-16,5.785848881000001,O3,O
35.724839562,1.6849525040000002,3.79385,O4,O
39.499150257000004,3.548339546481617e-16,5.7948782439999995,O5,O
39.832947072,1.6729146000000001,3.79385,O6,O
40.194159174,2.4911380160000007,6.271537558,O7,O
36.623475,4.4257,0.0,O8,O
39.267689895000004,4.580953556,0.0,O9,O
36.227104362000006,16.172569968,5.316397882,Si1,Si
39.329008056000006,16.175048359999998,5.316473759,Si2,Si
37.778474763000006,15.753013608,5.405173972,O1,O
35.377649019,15.198561911999999,6.275710793,O2,O
40.194159174,15.211661984000001,6.271537558,O7,O
26.555995638000002,1.5302300320000002,5.316397882,Si1,Si
23.454091944,1.5277516400000002,5.316473759,Si2,Si
25.004625237,1.9497863920000003,5.405173972,O1,O
27.405450981000005,2.5042380880000006,6.275710793,O2,O
22.588940826,2.4911380160000007,6.271537558,O7,O
36.227104362000006,1.5302300320000002,2.271302118,Si1,Si
39.329008056000006,1.5277516400000002,2.271226241,Si2,Si
37.778474763000006,1.9497863920000003,2.182526028,O1,O
35.377649019,2.504238088,1.311989207,O2,O
40.194159174,2.4911380160000003,1.316162442,O7,O
26.555995638000002,16.172569968,2.271302118,Si1,Si
23.454091944,16.175048359999998,2.271226241,Si2,Si
25.004625237,15.753013608,2.182526028,O1,O
27.405450981000005,15.198561911999999,1.311989207,O2,O
22.588940826,15.211661984000001,1.316162442,O7,O
37.019845638,10.381630031999999,2.271302118,Si1,Si
33.917941944,10.37915164,2.271226241,Si2,Si
35.356302765,14.264562183999999,0.0,Si3,Si
32.886206334,12.253524104,0.0,Si4,Si
35.468475237,10.801186392,2.182526028,O1,O
37.869300981,11.355638088000001,1.311989207,O2,O
37.195429041000004,8.8514,1.801851119,O3,O
37.522110438000006,10.536352504,3.79385,O4,O
33.747799743,8.8514,1.792821756,O5,O
33.414002928,10.5243146,3.79385,O6,O
33.052790826000006,11.342538015999999,1.316162442,O7,O
33.979260105,13.432353555999999,0.0,O9,O
31.391550000000002,12.85754364,0.0,O10,O
25.763254362,7.3211699679999995,2.271302118,Si1,Si
28.865158056000002,7.32364836,2.271226241,Si2,Si
27.426797235000006,3.438237816,0.0,Si3,Si
29.896893666,5.449275896,0.0,Si4,Si
