x,y,z,Site,Atom
3.943230000000001,14.031212041300002,3.1770709542,T1,Si
3.9432300000000016,12.4086915687,5.6702561058,T2,Si
3.9432300000000007,8.535279558200001,1.1005348068,T3,Si
1.314410000000001,10.6283445152,5.36709888,T4,Si
1.314410000000001,9.6554192833,2.4853581324,T5,Si
1.3144100000000012,12.775147278,1.8150298452,T6,Si
1.3144100000000012,16.9341825,0.1555620066,T7,Si
3.943230000000001,16.9341825,2.0079099612,T8,Si
3.9432300000000016,18.245565592800002,2.940722928,O1,O
0.00010515280000110319,16.9341825,1.0820854044000001,O2,O
1.3144100000000019,15.6185094143,13.2057188406,O3,O
3.9432300000000016,13.7383635786,4.7616230376,O4,O
0.00026288200000097354,13.378004175000001,2.5201604142,O5,O
3.9432300000000016,12.7893719913,7.2348213366000005,O6,O
5.257271965200001,11.5529508797,5.3128688184,O7,O
3.9432300000000016,9.3953102401,13.7181090618,O8,O
2.628925152800001,8.8913489689,1.9584320184,O9,O
1.314410000000001,9.6405172027,4.095907101,O10,O
1.314410000000001,11.1715930898,1.947669867,O11,O
2.628714847200001,16.9341825,1.0820854044000001,O2,O
2.628557118000001,13.378004175000001,2.5201604142,O5,O
2.6291880348000016,11.5529508797,5.3128688184,O7,O
5.257534847200001,8.8913489689,1.9584320184,O9,O
3.9432300000000016,19.8371529587,3.1770709542,T1,Si
3.943230000000002,21.4596734313,5.6702561058,T2,Si
3.9432300000000002,2.7541754417999997,1.1005348068,T3,Si
1.3144100000000003,0.6611104847999997,5.36709888,T4,Si
1.3144100000000003,1.6340357167,2.4853581324,T5,Si
1.3144100000000016,21.093217722000002,1.8150298452,T6,Si
3.943230000000001,15.6227994072,2.940722928,O1,O
1.314410000000002,18.2498555857,13.2057188406,O3,O
3.943230000000002,20.1300014214,4.7616230376,O4,O
0.00026288200000140906,20.490360825,2.5201604142,O5,O
3.943230000000002,21.0789930087,7.2348213366000005,O6,O
5.257271965200002,22.3154141203,5.3128688184,O7,O
3.943230000000001,1.8941447599000014,13.7181090618,O8,O
2.6289251528000004,2.3981060311000006,1.9584320184,O9,O
1.3144100000000003,1.6489377973,4.095907101,O10,O
1.3144100000000003,0.11786191020000018,1.947669867,O11,O
2.6285571180000016,20.490360825,2.5201604142,O5,O
2.629188034800002,22.3154141203,5.3128688184,O7,O
5.2575348472000005,2.3981060311000006,1.9584320184,O9,O
1.3144100000000012,8.547697958699999,10.7997490458,T1,Si
1.3144100000000012,10.1702184313,8.3065638942,T2,Si
1.3144100000000019,14.0436304418,12.8762851932,T3,Si
3.9432300000000016,11.9505654848,8.60972112,T4,Si
3.943230000000002,12.923490716700002,11.4914618676,T5,Si
3.9432300000000016,9.803762722,12.1617901548,T6,Si
3.9432300000000016,5.644727500000001,13.8212579934,T7,Si
1.3144100000000012,5.644727500000001,11.9689100388,T8,Si
1.314410000000001,4.3333444072,11.036097072,O1,O
5.257534847200001,5.644727500000001,12.8947345956,O2,O
3.9432300000000007,6.960400585700001,0.7711011594000007,O3,O
1.3144100000000012,8.840546421400001,9.2151969624,O4,O
5.257377118000002,9.200905825,11.4566595858,O5,O
1.3144100000000012,9.789538008700001,6.7419986633999995,O6,O
0.00036803480000128185,11.025959120300001,8.6639511816,O7,O
1.314410000000001,13.1835997599,0.25871093820000035,O8,O
2.6287148472000017,13.687561031100001,12.0183879816,O9,O
3.9432300000000016,12.938392797299999,9.880912899,O10,O
3.943230000000002,11.4073169102,12.029150133,O11,O
2.6289251528000017,5.644727500000001,12.8947345956,O2,O
2.6290828820000014,9.200905825,11.4566595858,O5,O
2.6284519652000014,11.025959120300001,8.6639511816,O7,O
0.00010515280000226292,13.687561031100001,12.0183879816,O9,O
1.314410000000001,2.741757041300004,10.7997490458,T1,Si
1.3144100000000005,1.119236568700003,8.3065638942,T2,Si
1.314410000000002,19.8247345582,12.8762851932,T3,Si
3.943230000000002,21.917799515200002,8.60972112,T4,Si
3.9432300000000025,20.9448742833,11.4914618676,T5,Si
3.943230000000001,1.4856922779999975,12.1617901548,T6,Si
1.3144100000000012,6.956110592799999,11.036097072,O1,O
3.9432300000000007,4.329054414299999,0.7711011594000007,O3,O
1.314410000000001,2.4489085786000007,9.2151969624,O4,O
5.257377118000001,2.0885491750000016,11.4566595858,O5,O
1.3144100000000005,1.4999169913000003,6.7419986633999995,O6,O
0.00036803480000062287,0.2634958797000021,8.6639511816,O7,O
1.3144100000000014,20.6847652401,0.25871093820000035,O8,O
2.628714847200002,20.1808039689,12.0183879816,O9,O
3.943230000000002,20.929972202700004,9.880912899,O10,O
3.9432300000000025,22.461048089800002,12.029150133,O11,O
2.629082882000001,2.0885491750000016,11.4566595858,O5,O
2.6284519652000005,0.2634958797000021,8.6639511816,O7,O
0.00010515280000266052,20.1808039689,12.0183879816,O9,O
9.20087,14.031212041300002,3.1770709542,T1,Si
9.20087,12.4086915687,5.6702561058,T2,Si
9.20087,8.535279558200001,1.1005348068,T3,Si
6.572050000000002,10.6283445152,5.36709888,T4,Si
6.572050000000002,9.6554192833,2.4853581324,T5,Si
6.572050000000002,12.775147278,1.8150298452,T6,Si
6.572050000000002,16.9341825,0.1555620066,T7,Si
9.200870000000002,16.9341825,2.0079099612,T8,Si
9.200870000000002,18.245565592800002,2.940722928,O1,O
5.257745152800001,16.9341825,1.0820854044000001,O2,O
6.572050000000003,15.6185094143,13.2057188406,O3,O
9.20087,13.7383635786,4.7616230376,O4,O
5.2579028820000016,13.378004175000001,2.5201604142,O5,O
9.20087,12.7893719913,7.2348213366000005,O6,O
10.514911965200001,11.5529508797,5.3128688184,O7,O
9.20087,9.3953102401,13.7181090618,O8,O
7.886565152800002,8.8913489689,1.9584320184,O9,O
6.572050000000002,9.6405172027,4.095907101,O10,O
6.572050000000002,11.1715930898,1.947669867,O11,O
7.886354847200001,16.9341825,1.0820854044000001,O2,O
7.886197118000002,13.378004175000001,2.5201604142,O5,O
7.8868280348000015,11.5529508797,5.3128688184,O7,O
10.515174847199999,8.8913489689,1.9584320184,O9,O
9.200870000000002,19.8371529587,3.1770709542,T1,Si
9.200870000000002,21.4596734313,5.6702561058,T2,Si
9.20087,2.7541754417999997,1.1005348068,T3,Si
6.572050000000001,0.6611104847999997,5.36709888,T4,Si
6.572050000000001,1.6340357167,2.4853581324,T5,Si
6.572050000000002,21.093217722000002,1.8150298452,T6,Si
9.200870000000002,15.6227994072,2.940722928,O1,O
6.572050000000003,18.2498555857,13.2057188406,O3,O
9.200870000000002,20.1300014214,4.7616230376,O4,O
5.2579028820000016,20.490360825,2.5201604142,O5,O
9.200870000000002,21.0789930087,7.2348213366000005,O6,O
10.514911965200003,22.3154141203,5.3128688184,O7,O
9.20087,1.8941447599000014,13.7181090618,O8,O
7.886565152800001,2.3981060311000006,1.9584320184,O9,O
6.572050000000001,1.6489377973,4.095907101,O10,O
6.572050000000001,0.11786191020000018,1.947669867,O11,O
7.886197118000002,20.490360825,2.5201604142,O5,O
7.886828034800002,22.3154141203,5.3128688184,O7,O
10.515174847199999,2.3981060311000006,1.9584320184,O9,O
6.572050000000003,8.547697958699999,10.7997490458,T1,Si
6.572050000000003,10.1702184313,8.3065638942,T2,Si
6.572050000000003,14.0436304418,12.8762851932,T3,Si
9.20087,11.9505654848,8.60972112,T4,Si
9.20087,12.923490716700002,11.4914618676,T5,Si
9.20087,9.803762722,12.1617901548,T6,Si
9.20087,5.644727500000001,13.8212579934,T7,Si
6.572050000000002,5.644727500000001,11.9689100388,T8,Si
6.572050000000002,4.3333444072,11.036097072,O1,O
10.515174847199999,5.644727500000001,12.8947345956,O2,O
9.20087,6.960400585700001,0.7711011594000007,O3,O
6.572050000000003,8.840546421400001,9.2151969624,O4,O
10.515017118000001,9.200905825,11.4566595858,O5,O
6.572050000000002,9.789538008700001,6.7419986633999995,O6,O
5.258008034800002,11.025959120300001,8.6639511816,O7,O
6.572050000000002,13.1835997599,0.25871093820000035,O8,O
7.886354847200002,13.687561031100001,12.0183879816,O9,O
9.20087,12.938392797299999,9.880912899,O10,O
9.20087,11.4073169102,12.029150133,O11,O
7.886565152800002,5.644727500000001,12.8947345956,O2,O
7.886722882000002,9.200905825,11.4566595858,O5,O
7.886091965200002,11.025959120300001,8.6639511816,O7,O
5.257745152800003,13.687561031100001,12.0183879816,O9,O
6.572050000000002,2.741757041300004,10.7997490458,T1,Si
6.572050000000002,1.119236568700003,8.3065638942,T2,Si
6.572050000000003,19.8247345582,12.8762851932,T3,Si
9.200870000000002,21.917799515200002,8.60972112,T4,Si
9.200870000000002,20.9448742833,11.4914618676,T5,Si
9.20087,1.4856922779999975,12.1617901548,T6,Si
6.572050000000002,6.956110592799999,11.036097072,O1,O
9.20087,4.329054414299999,0.7711011594000007,O3,O
6.572050000000002,2.4489085786000007,9.2151969624,O4,O
10.515017118000001,2.0885491750000016,11.4566595858,O5,O
6.572050000000001,1.4999169913000003,6.7419986633999995,O6,O
5.258008034800001,0.2634958797000021,8.6639511816,O7,O
6.572050000000002,20.6847652401,0.25871093820000035,O8,O
7.886354847200002,20.1808039689,12.0183879816,O9,O
9.200870000000002,20.929972202700004,9.880912899,O10,O
9.200870000000002,22.461048089800002,12.029150133,O11,O
7.886722882000001,2.0885491750000016,11.4566595858,O5,O
7.886091965200001,0.2634958797000021,8.6639511816,O7,O
5.257745152800003,20.1808039689,12.0183879816,O9,O
3.9432300000000025,36.6101220413,3.1770709542,T1,Si
3.943230000000003,34.9876015687,5.6702561058,T2,Si
3.943230000000002,31.1141895582,1.1005348068,T3,Si
