x,y,z,Site,Atom
-1.5341357879999988,4.822177034589017,3.7845394574,Si1,Si
11.538633174750002,2.653012461395287,6.0257276248,Si2,Si
-1.5280572847499994,2.6575407523471024,1.5409303468,Si3,Si
1.2675255134235403e-15,5.310326799194797,3.7781844815000003,O1,O
-1.815773105249999,3.939499920806255,5.1009273224,O2,O
-2.5170232274999984,6.093947548406582,3.7863551648000002,O3,O
-1.8258385837499989,3.935198044402029,2.4732960967,O4,O
9.783617972534779e-16,2.193504137059743,5.8538406576,O5,O
11.261048193000002,3.0323700358836847,7.5654475,O6,O
10.565353692000002,1.447241788200442,5.5878395235000005,O7,O
6.694391930931633e-16,2.191466406131425,1.743079104,O8,O
-1.7654457127499994,3.0578416724876503,0.0,O9,O
10.555157493,1.4531285664378024,1.9446226254,O10,O
3.126965080500003,7.581038296983005,3.7845394574,Si1,Si
5.005157224500002,8.666243223585745,6.0257276248,Si2,Si
4.9985558392500025,8.66862057633545,1.5409303468,Si3,Si
1.9371470895000027,8.665563979942974,3.7781844815000003,O1,O
4.032204543000001,7.778471782482191,5.1009273224,O2,O
2.5170232275000024,6.093947548406582,3.7863551648000002,O3,O
4.040962816500002,7.771905760602056,2.4732960967,O4,O
4.636394694000004,10.223975311010502,5.8538406576,O5,O
4.815416418750003,8.236168790437008,7.5654475,O6,O
6.536025000000003,8.42624380313949,5.5878395235000005,O7,O
4.638159420750004,10.22499417647466,1.743079104,O8,O
4.770579287250001,8.262885707052721,0.0,O9,O
6.536025000000002,8.414470246664767,1.9446226254,O10,O
-1.5928292924999965,10.238239427508722,3.7845394574,Si1,Si
3.064284600750001,0.001471694559340474,6.0257276248,Si2,Si
-3.4704985544999976,11.315293430398192,1.5409303468,Si3,Si
-1.9371470894999983,8.665563979942974,3.7781844815000003,O1,O
-2.216431437749997,10.923483055792301,5.1009273224,O2,O
3.011719399231932e-15,10.45355966226758,3.7863551648000002,O3,O
-2.215124232749998,10.93435095407666,2.4732960967,O4,O
-4.636394693999998,10.223975311010502,5.8538406576,O5,O
3.5316103882500007,0.05218855321968195,7.5654475,O6,O
2.506696308,1.4472417882004414,5.5878395235000005,O7,O
-4.638159420749997,10.22499417647466,1.743079104,O8,O
3.5308914255000006,0.0,0.0,O9,O
2.516892507000001,1.4531285664378026,1.9446226254,O10,O
1.5928292925000032,10.238239427508722,3.7845394574,Si1,Si
10.007765399250001,0.001471694559340474,6.0257276248,Si2,Si
3.4704985545000038,11.315293430398192,1.5409303468,Si3,Si
2.2164314377500016,10.923483055792301,5.1009273224,O2,O
2.215124232750003,10.93435095407666,2.4732960967,O4,O
9.54043961175,0.05218855321968195,7.5654475,O6,O
9.541158574499999,0.0,0.0,O9,O
-3.1269650804999976,7.581038296983005,3.7845394574,Si1,Si
8.066892775500005,8.666243223585745,6.0257276248,Si2,Si
-4.998555839249998,8.66862057633545,1.5409303468,Si3,Si
-4.032204542999999,7.778471782482191,5.1009273224,O2,O
-4.040962816499999,7.771905760602056,2.4732960967,O4,O
8.256633581250002,8.236168790437008,7.5654475,O6,O
-4.770579287249998,8.262885707052721,0.0,O9,O
1.5341357880000022,4.822177034589017,3.7845394574,Si1,Si
1.5334168252500013,2.653012461395287,6.0257276248,Si2,Si
1.5280572847500005,2.6575407523471024,1.5409303468,Si3,Si
1.8157731052500015,3.939499920806255,5.1009273224,O2,O
1.8258385837500013,3.935198044402029,2.4732960967,O4,O
1.8110018070000014,3.0323700358836847,7.5654475,O6,O
1.7654457127500012,3.0578416724876503,0.0,O9,O
8.070160788000004,6.498550344951357,18.9154344574,Si1,Si
-5.002608174749997,8.667714918145087,21.1566226248,Si2,Si
8.064082284750004,8.663186627193271,16.6718253468,Si3,Si
6.536025000000002,6.010400580345577,18.9090794815,O1,O
8.351798105250005,7.38122745873412,20.231822322400003,O2,O
9.053048227500005,5.226779831133792,18.917250164800002,O3,O
8.361863583750004,7.3855293351383455,17.6041910967,O4,O
6.536025000000004,9.127223242480632,20.9847356576,O5,O
-4.725023192999997,8.28835734365669,22.6963425,O6,O
-4.029328691999998,9.873485591339934,20.7187345235,O7,O
6.536025000000002,9.129260973408948,16.873974104000002,O8,O
-4.770579287249997,8.262885707052723,15.130895,O9,O
-4.019132492999996,9.867598813102571,17.0755176254,O10,O
3.409059919500002,3.739689082557369,18.9154344574,Si1,Si
1.5308677755000022,2.654484155954629,21.1566226248,Si2,Si
1.537469160750002,2.6521068032049246,16.6718253468,Si3,Si
4.5988779105000015,2.655163399597401,18.9090794815,O1,O
2.5038204570000024,3.5422555970581846,20.231822322400003,O2,O
4.019001772500002,5.226779831133792,18.917250164800002,O3,O
2.4950621835000013,3.5488216189383173,17.6041910967,O4,O
1.8996303060000017,1.0967520685298735,20.9847356576,O5,O
1.720608581250002,3.0845585891033673,22.6963425,O6,O
2.66018182687198e-15,2.8944835764008836,20.7187345235,O7,O
1.8978655792500017,1.0957332030657143,16.873974104000002,O8,O
1.765445712750002,3.057841672487652,15.130895,O9,O
1.3097505025579518e-15,2.9062571328756066,17.0755176254,O10,O
8.128854292500002,1.0824879520316524,18.9154344574,Si1,Si
3.4717403992500033,11.319255684981034,21.1566226248,Si2,Si
10.006523554500003,0.0054339491421811475,16.6718253468,Si3,Si
8.473172089500002,2.655163399597401,18.9090794815,O1,O
8.752456437750004,0.39724432374807384,20.231822322400003,O2,O
6.536025000000001,0.8671677172727945,18.917250164800002,O3,O
8.751149232750004,0.3863764254637148,17.6041910967,O4,O
11.172419694000004,1.0967520685298735,20.9847356576,O5,O
3.0044146117500037,11.268538826320693,22.6963425,O6,O
4.029328692000005,9.873485591339934,20.7187345235,O7,O
11.174184420750002,1.0957332030657143,16.873974104000002,O8,O
9.5411585745,1.60474525767465e-15,15.130895,O9,O
4.019132493000003,9.867598813102571,17.0755176254,O10,O
4.943195707500001,1.0824879520316524,18.9154344574,Si1,Si
-3.4717403992499962,11.319255684981034,21.1566226248,Si2,Si
3.065526445500001,0.0054339491421811475,16.6718253468,Si3,Si
4.3195935622500015,0.39724432374807384,20.231822322400003,O2,O
4.32090076725,0.3863764254637148,17.6041910967,O4,O
-3.0044146117499966,11.268538826320693,22.6963425,O6,O
3.5308914255000015,1.60474525767465e-15,15.130895,O9,O
9.662990080500004,3.739689082557369,18.9154344574,Si1,Si
-1.5308677754999989,2.654484155954629,21.1566226248,Si2,Si
11.534580839250003,2.6521068032049246,16.6718253468,Si3,Si
10.568229543000003,3.5422555970581846,20.231822322400003,O2,O
10.576987816500003,3.5488216189383173,17.6041910967,O4,O
-1.720608581249998,3.0845585891033673,22.6963425,O6,O
-1.7654457127499985,3.057841672487652,15.130895,O9,O
5.001889212000002,6.498550344951357,18.9154344574,Si1,Si
5.002608174750003,8.667714918145087,21.1566226248,Si2,Si
5.007967715250004,8.663186627193271,16.6718253468,Si3,Si
4.720251894750003,7.38122745873412,20.231822322400003,O2,O
4.710186416250004,7.3855293351383455,17.6041910967,O4,O
4.725023193000004,8.28835734365669,22.6963425,O6,O
4.770579287250002,8.262885707052723,15.130895,O9,O
8.070160788000004,6.498550344951358,26.477250542600004,Si1,Si
-5.002608174749996,8.667714918145087,24.236062375200003,Si2,Si
8.064082284750004,8.663186627193273,28.7208596532,Si3,Si
6.536025000000003,6.010400580345578,26.4836055185,O1,O
8.351798105250005,7.381227458734121,25.1608626776,O2,O
9.053048227500005,5.2267798311337925,26.4754348352,O3,O
8.361863583750004,7.385529335138346,27.7884939033,O4,O
6.536025000000005,9.127223242480632,24.4079493424,O5,O
-4.029328691999997,9.873485591339934,24.6739504765,O7,O
6.536025000000003,9.12926097340895,28.518710896,O8,O
-4.019132492999995,9.867598813102573,28.3171673746,O10,O
3.4090599195000024,3.7396890825573696,26.477250542600004,Si1,Si
1.5308677755000024,2.6544841559546293,24.236062375200003,Si2,Si
1.5374691607500026,2.652106803204926,28.7208596532,Si3,Si
4.598877910500002,2.6551633995974013,26.4836055185,O1,O
2.5038204570000024,3.542255597058185,25.1608626776,O2,O
4.019001772500003,5.2267798311337925,26.4754348352,O3,O
2.495062183500002,3.5488216189383186,27.7884939033,O4,O
1.899630306000002,1.096752068529874,24.4079493424,O5,O
2.90236895471088e-15,2.894483576400884,24.6739504765,O7,O
1.8978655792500023,1.0957332030657156,28.518710896,O8,O
1.998103021682623e-15,2.906257132875608,28.3171673746,O10,O
8.128854292500002,1.0824879520316533,26.477250542600004,Si1,Si
3.4717403992500033,11.319255684981034,24.236062375200003,Si2,Si
10.006523554500003,0.005433949142182425,28.7208596532,Si3,Si
8.473172089500002,2.6551633995974013,26.4836055185,O1,O
8.752456437750004,0.39724432374807433,25.1608626776,O2,O
