x,y,z,Site,Atom
3.0251617731837043e-16,3.0890144999999998,1.8514496,O1,O
1.9417230000000005,1.3133712000000002,1.8589636,O2,O
4.153287,8.056347540718457e-17,1.3157014,O3,O
4.7175,3.60025,0.0,O4,O
6.011982000000001,1.3119311,0.0,O5,O
2.456874000000001,3.8349862999999997,1.3157014,O6,O
3.2060130000000004,2.300499012198303e-16,3.757,O7,O
1.8152940000000004,3.1336576000000003,3.757,O8,O
1.5511140000000005,2.8384370999999997,2.197845,T1,Si
3.2645100000000005,4.2871777,0.0,T2,Si
2.807856,1.345791922136007e-16,2.197845,T3,Si
5.079804,0.0,0.0,T4,Si
9.435,10.289514500000001,1.8514496,O1,O
11.376723,8.513871199999999,1.8589636,O2,O
13.588287,7.2005,1.3157014,O3,O
14.1525,10.80075,0.0,O4,O
15.446982,8.512431099999999,0.0,O5,O
11.891874,11.035486299999999,1.3157014,O6,O
12.641013,7.2005,3.757,O7,O
11.250294,10.3341576,3.757,O8,O
10.986114000000002,10.0389371,2.197845,T1,Si
12.699510000000002,11.4876777,0.0,T2,Si
12.242856000000002,7.2005,2.197845,T3,Si
14.514804,7.2005,0.0,T4,Si
16.928277,1.3133712000000002,1.8589636,O2,O
14.716713000000002,8.056347540718457e-17,1.3157014,O3,O
14.1525,3.60025,0.0,O4,O
12.858018000000001,1.3119311,0.0,O5,O
16.413126000000002,3.8349862999999997,1.3157014,O6,O
15.663987000000002,2.300499012198303e-16,3.757,O7,O
17.054706000000003,3.1336576000000003,3.757,O8,O
17.318886,2.8384370999999997,2.197845,T1,Si
15.60549,4.2871777,0.0,T2,Si
16.062144,1.345791922136007e-16,2.197845,T3,Si
13.790196000000002,0.0,0.0,T4,Si
7.493277000000002,8.513871199999999,1.8589636,O2,O
5.281713000000001,7.2005,1.3157014,O3,O
4.717500000000001,10.80075,0.0,O4,O
3.423018000000001,8.512431099999999,0.0,O5,O
6.978126000000001,11.035486299999999,1.3157014,O6,O
6.228987,7.2005,3.757,O7,O
7.619706000000001,10.3341576,3.757,O8,O
7.883886000000001,10.0389371,2.197845,T1,Si
6.170490000000002,11.4876777,0.0,T2,Si
6.627144,7.2005,2.197845,T3,Si
4.355196,7.2005,0.0,T4,Si
8.060279330499459e-16,11.311985499999999,1.8514496,O1,O
1.9417230000000014,13.087628800000001,1.8589636,O2,O
6.0119820000000015,13.089068900000001,0.0,O5,O
2.456874000000001,10.566013700000001,1.3157014,O6,O
1.8152940000000009,11.2673424,3.757,O8,O
1.551114000000001,11.5625629,2.197845,T1,Si
3.2645100000000005,10.113822299999999,0.0,T2,Si
9.435,4.1114855,1.8514496,O1,O
11.376723,5.8871288,1.8589636,O2,O
15.446982,5.8885689,0.0,O5,O
11.891874,3.3655137,1.3157014,O6,O
11.250294,4.0668424,3.757,O8,O
10.986114000000002,4.3620629,2.197845,T1,Si
12.699510000000002,2.9133222999999995,0.0,T2,Si
16.928277,13.087628800000001,1.8589636,O2,O
12.858018000000001,13.089068900000001,0.0,O5,O
